2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	16	16	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	17	17	17	17	17	18	18	18	18	18	18	18	18	18	18	18	18	19	19	19	19	19	19	19	19	19	19	19	19	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22	22	22	22	22	22	22	22	22	23	23	23	23	23	23	23	23	23	23	23	23	24	24	24	24	24	24	24	24	24	24	24	24
Actual Result					Lando Norris	Lando Norris	Max Verstappen	George Russell	Lando Norris	Lewis Hamilton		Lando Norris			Lewis Hamilton	Lewis Hamilton	Oscar Piastri	Oscar Piastri	Lando Norris	George Russell	Oscar Piastri	Carlos Sainz Jr.		Andrea Kimi Antonelli					Max Verstappen	Max Verstappen	Lando Norris	Oscar Piastri	Andrea Kimi Antonelli	Oliver Bearman		Yuki Tsunoda					Oscar Piastri	Oscar Piastri	George Russell	Lando Norris	Oscar Piastri	Oliver Bearman		Lewis Hamilton					Max Verstappen	Oscar Piastri	Max Verstappen	Charles Leclerc	Lando Norris	Isack Hadjar		Max Verstappen			Andrea Kimi Antonelli	Lando Norris	Max Verstappen	Oscar Piastri	Lando Norris	George Russell	Lando Norris	Yuki Tsunoda		Oscar Piastri					Oscar Piastri	Max Verstappen	Lando Norris	Oscar Piastri	Max Verstappen	Yuki Tsunoda		Max Verstappen					Lando Norris	Lando Norris	Charles Leclerc	Oscar Piastri	Lando Norris	Carlos Sainz Jr.		Charles Leclerc					Oscar Piastri	Oscar Piastri	Lando Norris	Charles Leclerc	Oscar Piastri	Max Verstappen		Max Verstappen					George Russell	George Russell	Max Verstappen	Andrea Kimi Antonelli	George Russell	Carlos Sainz Jr.		Andrea Kimi Antonelli					Lando Norris	Lando Norris	Oscar Piastri	Charles Leclerc	Oscar Piastri	Esteban Ocon		Gabriel Bortoleto					Max Verstappen	Lando Norris	Oscar Piastri	Nico Hülkenberg	Oscar Piastri	George Russell		Nico Hülkenberg			Oscar Piastri	Max Verstappen	Lando Norris	Oscar Piastri	Lando Norris	Charles Leclerc	Andrea Kimi Antonelli	Pierre Gasly		Lewis Hamilton					Charles Leclerc	Lando Norris	Oscar Piastri	George Russell	George Russell	Andrea Kimi Antonelli		Gabriel Bortoleto					Oscar Piastri	Oscar Piastri	Max Verstappen	Isack Hadjar	Oscar Piastri	Esteban Ocon		Isack Hadjar					Max Verstappen	Max Verstappen	Lando Norris	Oscar Piastri	Lando Norris	Isack Hadjar		Max Verstappen					Max Verstappen	Max Verstappen	George Russell	Carlos Sainz Jr.	Max Verstappen	Isack Hadjar		Carlos Sainz Jr.					George Russell	George Russell	Max Verstappen	Lando Norris	Lewis Hamilton	Carlos Sainz Jr.		Fernando Alonso			Max Verstappen	Max Verstappen	Max Verstappen	Max Verstappen	Lando Norris	Charles Leclerc	Kimi Antonelli	Fernando Alonso		Charles Leclerc					Lando Norris	Lando Norris	Charles Leclerc	Max Verstappen	George Russell	Gabriel Bortoleto		Oliver Bearman			Lando Norris	Lando Norris	Lando Norris	Lando Norris	Andrea Kimi Antonelli	Max Verstappen	Alexander Albon	Pierre Gasly		Max Verstappen					Lando Norris	Max Verstappen	George Russell	Andrea Kimi Antonelli	Max Verstappen	Oliver Bearman		Max Verstappen			Oscar Piastri	Oscar Piastri	Oscar Piastri	Max Verstappen	Oscar Piastri	Carlos Sainz Jr.	Oscar Piastri	Yuki Tsunoda		Max Verstappen					Max Verstappen	Max Verstappen	Oscar Piastri	Lando Norris	Charles Leclerc	Lance Stroll		Max Verstappen
Individual	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	SP	S1	RP	P1	P2	P3	FL	P10	Pred	DotD	Team	Sum	-	-	RP	P1	P2	P3	FL	P10	Pred	DotD
_travushka_	Scuderia KFP	1	-	-	0	0	1	0	0	0	0	0	Scuderia KFP	1	0	0	0	1	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Scuderia KFP	2	-	-	0	1	0	0	1	0	0	0	Scuderia KFP	2	0	1	0	1	0	0	0	0	0	0	Scuderia KFP	4	-	-	0	1	1	1	0	1	0	0	Scuderia KFP	3	-	-	0	0	1	1	0	0	0	1	Scuderia KFP	2	-	-	0	0	0	0	1	0	0	1	Scuderia KFP	2	-	-	0	0	1	0	0	0	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.halcy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Amelia's Driver Bureau	1	-	-	0	0	0	1	0	0	0	0	Amelia's Driver Bureau	3	-	-	1	1	0	0	1	0	0	0	Amelia's Driver Bureau	0	-	-	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	2	-	-	0	0	1	0	1	0	0	0	Amelia's Driver Bureau	0	-	-	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	1	0	1	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	0	-	-	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	1	-	-	0	0	1	0	0	0	0	0	Amelia's Driver Bureau	1	-	-	0	0	0	0	1	0	0	0	Amelia's Driver Bureau	5	-	-	1	1	0	0	1	1	1	0	Amelia's Driver Bureau	0	-	-	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	3	0	0	1	1	1	0	0	0	0	0	Scuderia KFP	0	-	-	0	0	0	0	0	0	0	0	Amelia's Driver Bureau	1	0	0	0	0	0	0	0	0	0	1	Amelia's Driver Bureau	4	-	-	1	1	0	0	1	0	0	1	Amelia's Driver Bureau	3	0	0	1	1	0	0	0	0	0	1	Amelia's Driver Bureau	2	-	-	0	1	0	0	0	0	0	1
2fiiol	-	-	-	-	-	-	-	-	-	-	-	-	Nerissa's Birdgarage	2	0	0	0	0	0	0	1	0	1	0	-	-	-	-	-	-	-	-	-	-	-	-	Nerissa's Birdgarage	3	-	-	1	1	0	0	0	1	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acdi33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Scuderia KFP	2	-	-	0	0	0	1	0	0	0	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aru_ms	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Scuderia KFP	0	-	-	0	0	0	0	0	0	0	0	Scuderia KFP	1	-	-	0	0	0	0	0	1	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
atton_risk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Scuderia KFP	0	-	-	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ayavi	IRyS' Stage Racing	1	-	-	1	0	0	0	0	0	0	0	IRyS' Stage Racing	1	0	0	0	0	1	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	IRyS' Stage Racing	1	-	-	0	0	0	0	0	0	1	0	IRyS' Stage Racing	1	-	-	0	0	0	0	1	0	0	0	IRyS' Stage Racing	4	0	0	0	1	1	0	0	1	0	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ceraf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Rindo Chihaya's Garage	2	-	-	0	0	0	0	1	0	0	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
claxle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Rindo Chihaya's Garage	2	-	-	0	1	1	0	0	0	0	0	Rindo Chihaya's Garage	1	-	-	1	0	0	0	0	0	0	0	Rindo Chihaya's Garage	2	-	-	1	0	1	0	0	0	0	0	Rindo Chihaya's Garage	2	0	1	1	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Rindo Chihaya's Garage	2	-	-	0	1	1	0	0	0	0	0	Rindo Chihaya's Garage	0	-	-	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	Rindo Chihaya's Garage	1	-	-	0	0	0	0	1	0	0	0	Rindo Chihaya's Garage	1	0	0	0	0	0	0	0	0	0	1	-	-	-	-	-	-	-	-	-	-	-	-	Rindo Chihaya's Garage	1	-	-	0	0	1	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
counting_	Scuderia KFP	1	-	-	0	0	0	0	0	0	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
crazycalzone	IRyS' Stage Racing	2	-	-	0	0	0	0	1	0	1	0	IRyS' Stage Racing	3	0	0	0	0	0	1	0	0	1	1	IRyS' Stage Racing	1	-	-	0	0	0	0	0	0	0	1	IRyS' Stage Racing	2	-	-	1	1	0	0	0	0	0	0	IRyS' Stage Racing	0	-	-	0	0	0	0	0	0	0	0	IRyS' Stage Racing	0	0	0	0	0	0	0	0	0	0	0	IRyS' Stage Racing	2	-	-	1	0	1	0	0	0	0	0	IRyS' Stage Racing	1	-	-	0	1	0	0	0	0	0	0	IRyS' Stage Racing	1	-	-	0	0	0	0	0	0	0	1	IRyS' Stage Racing	2	-	-	1	1	0	0	0	0	0	0	IRyS' Stage Racing	3	-	-	1	1	0	0	1	0	0	0	IRyS' Stage Racing	1	-	-	0	0	0	0	0	0	1	0	IRyS' Stage Racing	1	0	0	0	0	1	0	0	0	0	0	IRyS' Stage Racing	3	-	-	0	1	1	0	0	0	1	0	IRyS' Stage Racing	1	-	-	0	0	0	0	1	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	IRyS' Stage Racing	0	-	-	0	0	0	0	0	0	0	0	IRyS' Stage Racing	0	-	-	0	0	0	0	0	0	0	0	IRyS' Stage Racing	6	1	1	1	1	1	1	0	0	0	0	IRyS' Stage Racing	1	-	-	0	0	0	0	0	0	1	0	IRyS' Stage Racing	2	0	0	1	0	0	0	0	0	0	1	IRyS' Stage Racing	3	-	-	1	0	0	0	0	1	1	0	IRyS' Stage Racing	4	0	0	0	1	0	0	1	0	1	1	-	-	-	-	-	-	-	-	-	-	-	-
dakkyun	AMG Reine's [Reidacted]	4	-	-	1	1	0	0	0	0	1	1	AMG Reine's [Reidacted]	1	0	0	0	0	0	0	0	0	1	0	AMG Reine's [Reidacted]	0	-	-	0	0	0	0	0	0	0	0	AMG Reine's [Reidacted]	1	-	-	0	0	0	0	1	0	0	0	AMG Reine's [Reidacted]	1	-	-	0	0	0	0	1	0	0	0	AMG Reine's [Reidacted]	3	0	0	1	1	0	0	0	0	0	1	AMG Reine's [Reidacted]	2	-	-	1	0	1	0	0	0	0	0	AMG Reine's [Reidacted]	4	-	-	0	0	0	1	0	1	1	1	AMG Reine's [Reidacted]	0	-	-	0	0	0	0	0	0	0	0	AMG Reine's [Reidacted]	0	-	-	0	0	0	0	0	0	0	0	AMG Reine's [Reidacted]	3	-	-	0	1	1	0	1	0	0	0	AMG Reine's [Reidacted]	2	-	-	0	1	1	0	0	0	0	0	AMG Reine's [Reidacted]	2	1	0	0	0	0	1	0	0	0	0	AMG Reine's [Reidacted]	1	-	-	0	0	0	0	0	0	1	0	AMG Reine's [Reidacted]	1	-	-	0	0	0	0	1	0	0	0	AMG Reine's [Reidacted]	2	-	-	0	0	0	0	1	0	1	0	AMG Reine's [Reidacted]	0	-	-	0	0	0	0	0	0	0	0	AMG Reine's [Reidacted]	2	-	-	0	0	1	0	0	0	1	0	AMG Reine's [Reidacted]	2	0	0	1	0	0	1	0	0	0	0	AMG Reine's [Reidacted]	2	-	-	0	0	1	0	0	0	1	0	AMG Reine's [Reidacted]	5	1	1	1	1	0	0	0	0	1	0	AMG Reine's [Reidacted]	1	-	-	0	0	1	0	0	0	0	0	AMG Reine's [Reidacted]	2	0	0	0	0	1	0	0	0	0	1	AMG Reine's [Reidacted]	2	-	-	0	0	0	0	0	0	1	1
